UF; ANO; MES; CHUVA; DENGUE
SP;2015;01;4464.999999999963;772.0
SP;2015;02;6594.999999999894;3086.0
SP;2015;03;6210.599999999847;8824.0
SP;2015;04;1862.0000000000134;9932.0
SP;2015;05;2756.599999999995;8919.0
SP;2015;06;571.1999999999989;3116.0
SP;2015;07;2145.400000000012;1121.0
SP;2015;08;568.3999999999987;601.0
SP;2015;09;4513.799999999931;432.0
SP;2015;10;3177.599999999992;440.0
SP;2015;11;7333.1999999998725;721.0
SP;2015;12;6328.59999999989;831.0
MG;2015;01;3511.3999999999837;163.0
MG;2015;02;8882.39999999986;361.0
MG;2015;03;8544.199999999848;1916.0
MG;2015;04;3812.9999999999486;5324.0
MG;2015;05;2958.399999999979;8144.0
MG;2015;06;841.2000000000071;2317.0
MG;2015;07;486.3999999999967;510.0
MG;2015;08;479.7999999999971;251.0
MG;2015;09;2978.19999999999;203.0
MG;2015;10;3052.3999999999837;203.0
MG;2015;11;9413.399999999967;792.0
MG;2015;12;8446.59999999986;1597.0
ES;2015;01;88.40000000000005;1172.0
ES;2015;02;895.6000000000012;997.0
ES;2015;03;764.8000000000004;1985.0
ES;2015;04;491.3999999999996;3088.0
ES;2015;05;1082.6000000000033;6303.0
ES;2015;06;895.6000000000021;4429.0
ES;2015;07;287.79999999999967;3406.0
ES;2015;08;373.7999999999991;3684.0
ES;2015;09;387.9999999999991;3080.0
ES;2015;10;357.7999999999994;3970.0
ES;2015;11;572.5999999999999;5707.0
ES;2015;12;709.4000000000004;6987.0
RS;2015;01;7161.199999999906;26.0
RS;2015;02;3942.199999999971;30.0
RS;2015;03;2638.4000000000024;92.0
RS;2015;04;3059.399999999975;148.0
RS;2015;05;4792.399999999939;182.0
RS;2015;06;4908.399999999954;48.0
RS;2015;07;7400.799999999866;19.0
RS;2015;08;2918.7999999999834;31.0
RS;2015;09;5532.199999999907;13.0
RS;2015;10;9491.799999999877;19.0
RS;2015;11;5674.799999999897;42.0
RS;2015;12;10341.800000000012;80.0
PR;2015;01;2450.600000000001;2992.0
PR;2015;02;3136.39999999997;6362.0
PR;2015;03;2700.599999999988;22894.0
PR;2015;04;1249.4000000000083;25386.0
PR;2015;05;2329.4000000000055;14807.0
PR;2015;06;1476.8000000000075;4680.0
PR;2015;07;3717.1999999999402;2302.0
PR;2015;08;760.8000000000043;3045.0
PR;2015;09;2979.999999999974;1935.0
PR;2015;10;4111.199999999948;2175.0
PR;2015;11;5958.99999999993;4116.0
PR;2015;12;4982.399999999939;6235.0
CE;2015;01;503.9999999999993;1747.0
CE;2015;02;1497.4000000000062;2697.0
CE;2015;03;2733.999999999997;7290.0
CE;2015;04;1973.000000000005;9292.0
CE;2015;05;843.4000000000002;18660.0
CE;2015;06;577.7999999999992;9605.0
CE;2015;07;716.6000000000008;4778.0
CE;2015;08;35.599999999999994;3233.0
CE;2015;09;66.60000000000002;950.0
CE;2015;10;18.999999999999996;635.0
CE;2015;11;11.8;718.0
CE;2015;12;282.19999999999953;566.0
RJ;2015;01;1200.600000000003;3466.0
RJ;2015;02;1839.400000000011;4616.0
RJ;2015;03;2227.0000000000023;13352.0
RJ;2015;04;1477.8000000000088;14040.0
RJ;2015;05;956.6000000000037;13032.0
RJ;2015;06;1128.4000000000062;4861.0
RJ;2015;07;346.9999999999987;2696.0
RJ;2015;08;258.599999999999;2563.0
RJ;2015;09;1747.4000000000183;1309.0
RJ;2015;10;878.8000000000028;1326.0
RJ;2015;11;3068.1999999999903;3518.0
RJ;2015;12;2109.000000000011;7100.0
MG;2016;11;13838.6000000002;101.0
MG;2016;12;11459.200000000053;210.0
PR;2016;06;1709.6000000000163;1590.0
PR;2016;07;1208.200000000005;1646.0
PR;2016;08;2905.599999999967;1358.0
PR;2016;09;1161.200000000006;1623.0
PR;2016;10;3740.599999999968;2979.0
PR;2016;11;2161.4000000000096;3035.0
PR;2016;12;4527.599999999964;3581.0
PR;2016;01;3801.199999999986;39460.0
PR;2016;02;4652.599999999955;56305.0
PR;2016;03;2390.4000000000024;48403.0
PR;2016;04;1584.8000000000034;40074.0
PR;2016;05;3169.5999999999876;10382.0
RS;2016;01;3554.1999999999716;3.0
RS;2016;02;4066.1999999999553;1.0
RS;2016;03;7094.399999999855;6.0
RS;2016;04;7445.599999999842;4.0
RS;2016;05;2516.200000000003;3.0
RS;2016;06;768.4000000000041;0.0
RS;2016;07;4302.799999999962;0.0
RS;2016;08;4652.599999999919;0.0
RS;2016;09;2391.200000000007;0.0
RS;2016;10;9883.199999999995;0.0
RS;2016;11;5052.399999999946;0.0
RS;2016;12;6149.799999999935;1.0
CE;2016;01;1772.4000000000094;2924.0
CE;2016;02;558.5999999999987;4025.0
CE;2016;03;1536.8000000000036;5502.0
CE;2016;04;1162.0000000000023;10077.0
CE;2016;05;656.3999999999995;16837.0
CE;2016;06;249.2;8875.0
CE;2016;07;33.19999999999999;6850.0
CE;2016;08;25.19999999999999;3303.0
CE;2016;09;35.8;1958.0
CE;2016;10;18.599999999999994;1956.0
CE;2016;11;13.4;1551.0
CE;2016;12;342.79999999999956;1339.0
MG;2016;01;19926.000000000906;9705.0
MG;2016;02;5036.3999999999405;23590.0
MG;2016;03;5847.399999999908;22406.0
MG;2016;04;1334.0000000000077;16006.0
MG;2016;05;1127.200000000008;4920.0
MG;2016;06;2070.4000000000165;817.0
MG;2016;07;217.39999999999873;299.0
MG;2016;08;710.400000000001;84.0
MG;2016;09;1797.0000000000111;97.0
MG;2016;10;4833.9999999999345;131.0
SP;2016;01;8540.799999999876;3949.0
SP;2016;02;5932.999999999876;6079.0
SP;2016;03;4522.199999999957;6442.0
SP;2016;04;890.4000000000029;6359.0
SP;2016;05;2823.1999999999875;3126.0
